NCOLS 3
NROWS 82970
XLLCENTER 726700
YLLCENTER 4820125
CELLSIZE 25
246.85381 25.48013 -368.0
246.86586 25.46634 -354.0
246.87791 25.45255 -320.0
246.88995 25.43876 -269.0
246.902 25.42497 -235.0
246.91404 25.41118 -207.0
246.92609 25.3974 -179.0
246.93813 25.38361 -170.0
246.94295 25.37809 -196.0
246.95018 25.36982 -157.0
246.95259 25.36706 -135.0
246.96223 25.35603 -131.0
246.97186 25.345 -133.0
246.97427 25.34224 -148.0
246.99114 25.32294 -265.0
246.99836 25.31467 -245.0
247.01041 25.30088 -217.0
247.02245 25.28709 -217.0
247.0345 25.2733 -183.0
247.04701 25.2597 -160.0
247.05951 25.2461 -143.0
247.07202 25.2325 -151.0
247.08452 25.2189 -181.0
247.09453 25.20802 -243.0
247.09703 25.2053 -215.0
247.09953 25.20258 -194.0
247.10953 25.1917 -202.0
247.12204 25.1781 -226.0
247.13204 25.16722 -262.0
247.13455 25.1645 -254.0
247.14705 25.1509 -215.0
247.15956 25.1373 -207.0
247.17206 25.1237 -207.0
247.17706 25.11826 -207.0
247.19707 25.0965 -219.0
247.20458 25.08834 -226.0
247.20958 25.0829 -209.0
247.21958 25.07202 -189.0
247.22209 25.0693 -181.0
247.23459 25.0557 -198.0
247.2446 25.04482 -215.0
247.2471 25.0421 -196.0
247.2596 25.0285 -164.0
247.26961 25.01762 -157.0
247.27211 25.0149 -160.0
247.27961 25.00674 -170.0
247.28211 25.00402 -183.0
247.28461 25.0013 -189.0
247.29712 24.9877 -226.0
247.29962 24.98498 -237.0
247.30212 24.98226 -264.0
247.30962 24.9741 -309.0
247.31713 24.96594 -329.0
247.32213 24.9605 -294.0
247.32963 24.95234 -232.0
247.33464 24.9469 -202.0
247.34464 24.93602 -179.0
247.34714 24.9333 -170.0
247.35965 24.9197 -141.0
247.36715 24.91154 -131.0
247.37215 24.9061 -122.0
247.37465 24.90338 -113.0
247.38466 24.8925 -103.0
247.39466 24.88162 -84.0
247.39717 24.8789 -94.0
247.40967 24.8653 -139.0
247.41217 24.86258 -141.0
247.41967 24.85442 -187.0
247.42218 24.8517 -170.0
247.43468 24.8381 -160.0
247.44719 24.8245 -160.0
247.45969 24.8109 -159.0
247.4722 24.7973 -151.0
247.4847 24.7837 -148.0
247.498 24.7697 -141.0
247.5113 24.7557 -141.0
247.5246 24.7417 -135.0
247.5379 24.7277 -135.0
247.5512 24.7137 -131.0
247.5645 24.6997 -131.0
247.57992 24.68829 -129.0
247.59534 24.67688 -122.0
247.61077 24.66547 -120.0
247.62619 24.65405 -118.0
247.64161 24.64264 -114.0
247.65703 24.63123 -113.0
247.67245 24.61982 -113.0
247.68788 24.60841 -111.0
247.7033 24.597 -105.0
247.71872 24.58559 -103.0
247.73414 24.57418 -103.0
247.74956 24.56277 -101.0
247.76499 24.55135 -98.0
247.78041 24.53994 -96.0
247.79583 24.52853 -99.0
247.81125 24.51712 -94.0
247.82668 24.50571 -96.0
247.8421 24.4943 -98.0
247.85752 24.48289 -101.0
247.87294 24.47148 -103.0
247.88836 24.46007 -103.0
247.90379 24.44865 -107.0
247.91921 24.43724 -105.0
247.93463 24.42583 -111.0
247.95005 24.41442 -113.0
247.96548 24.40301 -113.0
248.02716 24.35737 -105.0
248.04259 24.34596 -105.0
248.05801 24.33454 -105.0
248.07343 24.32313 -103.0
248.08885 24.31172 -103.0
248.10428 24.30031 -101.0
248.1197 24.2889 -96.0
248.135 24.27775 -96.0
248.1503 24.2666 -94.0
248.16453 24.25368 -94.0
248.17877 24.24077 -94.0
248.193 24.22785 -94.0
248.20723 24.21493 -96.0
248.22147 24.20202 -103.0
248.2357 24.1891 -109.0
248.24993 24.17618 -120.0
248.26417 24.16327 -83.0
248.2784 24.15035 -153.0
248.29263 24.13743 -164.0
248.30687 24.12452 -179.0
248.3211 24.1116 -198.0
248.32964 24.10385 -198.0
248.33249 24.10127 -170.0
248.33533 24.09868 -185.0
248.34672 24.08835 -217.0
248.34957 24.08577 -265.0
248.35526 24.0806 -254.0
248.3638 24.07285 -249.0
248.37803 24.05993 -254.0
248.39226 24.04702 -264.0
